precision,recall,f1,f1_best,f1_pointwise_pa_best,auc_pr,best_threshold,csv_path,processing_time,time_length,n_observations,config_name
0.04,1.0,0.07692307692307693,0.4444444395061729,0.9707317023154374,0.1832641219008156,18.4236755236365,benchmark\data\NAB\Twitter_volume_AAPL.csv,0.158305,4770300.0,15902,autoreg
0.06896551724137931,1.0,0.12903225806451613,0.6666666622222223,0.9832402184589885,0.1494568967612328,17.63371501424912,benchmark\data\NAB\Twitter_volume_AMZN.csv,0.43789,4749000.0,15831,autoreg
0.08333333333333333,1.0,0.15384615384615385,0.4999999962500001,0.9897674368548506,0.1801235181927242,6.570041267829395,benchmark\data\NAB\Twitter_volume_CRM.csv,0.13558,4770300.0,15902,autoreg
0.05357142857142857,1.0,0.10169491525423728,0.7999999952000001,0.9829636722693205,0.1312434947887242,9.8708009848405,benchmark\data\NAB\Twitter_volume_CVS.csv,0.169088,4755600.0,15853,autoreg
0.028169014084507043,1.0,0.05479452054794521,0.999999995,0.9786839616319991,0.10591776376297221,13.513615873191574,benchmark\data\NAB\Twitter_volume_FB.csv,0.155599,4749600.0,15833,autoreg
0.03125,1.0,0.06060606060606061,0.7999999952000001,0.9686128873372336,0.13910885000985904,9.6407614741277,benchmark\data\NAB\Twitter_volume_GOOG.csv,0.128324,4752300.0,15842,autoreg
0.016260162601626018,1.0,0.032,0.7999999952000001,0.9633887998420219,0.12192788954150209,12.371444156696372,benchmark\data\NAB\Twitter_volume_IBM.csv,0.128869,4767600.0,15893,autoreg
0.05084745762711865,1.0,0.0967741935483871,0.7999999952000001,0.9826946797914685,0.12878661763818583,12.940710755846503,benchmark\data\NAB\Twitter_volume_KO.csv,0.119242,4755000.0,15851,autoreg
0.034482758620689655,1.0,0.06666666666666667,0.39999999680000003,0.9660194124756399,0.15140838079896804,8.648747066650584,benchmark\data\NAB\Twitter_volume_PFE.csv,0.129901,4757100.0,15858,autoreg
0.030303030303030304,1.0,0.05882352941176471,0.23076922766272187,0.9520958033890065,0.140332641411677,9.754647779016434,benchmark\data\NAB\Twitter_volume_UPS.csv,0.138165,4759500.0,15866,autoreg
0.016666666666666666,0.25,0.03125,0.06451612678459945,0.38848218296279946,0.2967352345755302,0.5648017356375457,benchmark\data\NAB\Twitter_volume_AAPL.csv,290.156267,4770300.0,15902,tspulse
1.0,0.25,0.4,0.6666666622222223,0.39999999679595966,0.30014217275081456,0.1757781294315656,benchmark\data\NAB\Twitter_volume_AMZN.csv,248.233417,4749000.0,15831,tspulse
1.0,0.3333333333333333,0.5,0.999999995,0.49999999624530084,0.36887523975268727,0.018134276482112705,benchmark\data\NAB\Twitter_volume_CRM.csv,215.612141,4770300.0,15902,tspulse
1.0,0.6666666666666666,0.8,0.999999995,0.8503759349551672,0.31460685939996935,0.12341352184162538,benchmark\data\NAB\Twitter_volume_CVS.csv,223.142061,4755600.0,15853,tspulse
1.0,0.5,0.6666666666666666,0.999999995,0.6666666622166106,0.22563915418180225,0.10222486923618615,benchmark\data\NAB\Twitter_volume_FB.csv,229.413157,4749600.0,15833,tspulse
1.0,0.3333333333333333,0.5,0.7999999952000001,0.6162005743226605,0.346023541382663,0.19983073222310344,benchmark\data\NAB\Twitter_volume_GOOG.csv,233.71495,4752300.0,15842,tspulse
0.1,0.5,0.16666666666666669,0.6666666622222223,0.6641635332889796,0.2230668571273301,0.5485630194176833,benchmark\data\NAB\Twitter_volume_IBM.csv,212.652856,4767600.0,15893,tspulse
1.0,0.3333333333333333,0.5,0.7999999952000001,0.4999999962452832,0.2694534292393888,0.05457774451638013,benchmark\data\NAB\Twitter_volume_KO.csv,222.419234,4755000.0,15851,tspulse
0.023622047244094488,0.75,0.04580152671755725,0.39999999680000003,0.8206185517397198,0.2767444687698296,0.786028581691742,benchmark\data\NAB\Twitter_volume_PFE.csv,237.030913,4757100.0,15858,tspulse
0.011111111111111112,0.2,0.021052631578947368,0.06060605803489451,0.31847771332629393,0.1940458454647636,0.7025796447276672,benchmark\data\NAB\Twitter_volume_UPS.csv,247.064411,4759500.0,15866,tspulse
0.9864253393665159,0.4749455337690632,0.6411764705882353,0.7239263754479582,0.6463245448155879,0.7714753200498813,1.7978391639532887,benchmark\data\TODS\0.csv,0.09407,2999700.0,10000,autoreg
0.9956896551724138,0.5032679738562091,0.6685962373371925,0.7609511840971429,0.6811397512478806,0.7970060962875524,1.7762788717751399,benchmark\data\TODS\01.csv,0.040766,2999700.0,10000,autoreg
0.890625,0.5277777777777778,0.6627906976744187,0.6730037975503478,0.7268232337929442,0.6843211755906411,2.9021798568105877,benchmark\data\TODS\012.csv,0.039166,2999700.0,10000,autoreg
0.8461538461538461,0.5477178423236515,0.6649874055415618,0.6820276448307461,0.8593749950340441,0.580102350830108,2.7040453120804075,benchmark\data\TODS\0123.csv,0.053095,2999700.0,10000,autoreg
0.86875,0.6780487804878049,0.7616438356164383,0.7777777729754455,0.7769784123966151,0.5322106643758786,3.3628667994376626,benchmark\data\TODS\01234.csv,0.039461,2999700.0,10000,autoreg
0.9953488372093023,0.4662309368191721,0.6350148367952523,0.6984536034148489,0.6290550027120182,0.7400976373088801,2.015610116787412,benchmark\data\TODS\1.csv,0.032074,2999700.0,10000,autoreg
0.6482412060301508,0.5078740157480315,0.5695364238410595,0.599999995000077,0.6650831305183339,0.5793772625499343,2.313209454601251,benchmark\data\TODS\12.csv,0.863075,2999700.0,10000,autoreg
